Textos_espanol,sdg
"Además, el efecto agregado de la búsqueda de objetivos secundarios de política en el sistema de contratación pública debe evaluarse periódicamente para abordar la posible sobrecarga de objetivos. Los siguientes ejemplos no proporcionan una lista exhaustiva de las medidas empleadas por los países. Un enfoque es encargar a los proveedores que demuestren su cumplimiento con las leyes o requisitos relacionados con la igualdad de género.",5
"Se deben hacer todos los esfuerzos posibles para incluir cuestiones clave de género en el propio informe, así como en su resumen. Además, considerando que es probable que el informe sirva como base para las acciones de seguimiento, este análisis específico de género es fundamental para apoyar los esfuerzos y las iniciativas adaptadas destinadas a promover el acceso de las víctimas a la justicia y recursos efectivos. Esto incluiría el establecimiento de unidades de protección especial y oficinas de género en las comisarías, etc. Véase la guía Noleof ttaSecTeiaryGeneral' Reparations (o Conflict-related Sexual Violence, junio de 2014.",5
"En 2013, 9 700 estudiantes asistían a 14 escuelas operativas en Astana (2), Aktobe, Atyrau, Karaganda, Kokshetau, Kyzylorda, Pavlodar, Semey, Shymkent (2), Taraz, Ust-Kamenogorsk y Uralsk. Los NEI atienden a unos 1108 estudiantes de zonas rurales en régimen de internado. Desde 2013, el proceso de selección incluye pruebas de matemáticas, idiomas (kazajo, ruso e inglés) y capacidad para estudiar matemáticas y ciencias (razonamiento cuantitativo y pensamiento espacial).",4
"En 2014, una media del 77 % de los niños de 3 años estaban matriculados en programas de desarrollo educativo para la primera infancia o en educación preescolar en los países de la UE22 (en comparación con la media de la OCDE del 71 %). Entre 2005 y 2014, la matrícula de niños de 3 años en educación preescolar aumentó del 69 % al 76 %, y la matrícula de niños de 4 años aumentó del 84 % al 89 %, en promedio entre los países con datos para ambos años . En Bélgica, Dinamarca, Francia, Alemania, Italia, Luxemburgo, los Países Bajos, España y el Reino Unido, al menos el 95 % de los niños de 4 años están matriculados en educación infantil.",4
"En Brasil, el gobierno federal establece las normas generales para las escuelas pero no tiene responsabilidades directas, con algunas excepciones, sobre las escuelas primarias y secundarias, que son principalmente locales (municipios) y regionales (estados). Ambos niveles tienen un alto grado de autonomía en la determinación de su plan de estudios. El grupo también tuvo como objetivo brindar la asesoría técnica necesaria para dar forma al programa de acuerdo con la metodología educativa oficial, así como facilitar la inclusión de conceptos financieros en el currículo normal de las escuelas primarias y secundarias.",4
"Epidemias como el sarampión y la poliomielitis y la limitada respuesta del sistema de salud están empeorando la situación. Los indicadores de salud incluso mejoraron durante la década de 1980, la mortalidad infantil disminuyó de 80 por 1.000 nacidos vivos en 1979 a 40 en 1989, y la tasa de mortalidad de menores de 5 años se redujo de 120 a 60 por 1.000 nacidos vivos.21 Sanciones internacionales impuestas durante la década de 1980 y Sin embargo, el consiguiente retroceso del desarrollo económico afectó el sistema de salud y los resultados sanitarios. La esperanza de vida al nacer y la esperanza de vida ajustada por salud no mejoraron entre los jóvenes entre 1990 y 2010.",3
"Para la salud, el NDOH presenta sus planes de negocios (incluidas las nuevas ofertas) al Tesoro Nacional, y los nueve departamentos de salud provinciales presentan planes de negocios a sus correspondientes tesorerías provinciales. Luego tienen lugar las negociaciones iniciales. Para la salud, se llevan a cabo reuniones bilaterales entre la Tesorería Nacional y altos funcionarios de salud, con reuniones equivalentes entre la tesorería provincial y los departamentos de salud provinciales, para discutir si los programas están adecuadamente financiados.",3
"El sector privado generalmente apoya la prestación de servicios y la recaudación de fondos. En algunos países, el sector privado se encuentra en las primeras etapas de desarrollo, mientras que en otros se ha expandido considerablemente (Cercone, 2005). Revertir esta tendencia e implementar los mecanismos necesarios para contener los crecientes costos del sistema son los principales desafíos que enfrentan los países del Caribe en términos de equidad y acceso a los servicios de salud.",3
"En gran parte del Norte Circumpolar, los pueblos indígenas tenían experiencias comunes dentro de los sistemas educativos basados ​​en formas ""occidentales"" de enseñanza, aprendizaje y conocimiento y operando con la intención de asimilación. Ahora, en todo el norte y en otros lugares, como Nueva Zelanda y Hawái, los pueblos indígenas están trabajando para crear sistemas educativos controlados por los indígenas basados ​​no en la forma occidental de escolarización que se les impuso durante el último siglo (o más) sino más bien basados ​​en la educación indígena. epistemologías y cosmovisiones. En algunas regiones circumpolares, estos esfuerzos están ocurriendo junto con el sistema educativo occidental dominante, mientras que en otras, los sistemas occidentales están siendo reemplazados por completo.",4
"Tal visión puede establecer nuevas expectativas para las actitudes y el comportamiento de hombres y mujeres. Un plan estratégico puede estructurar los planes nacionales de igualdad de género y guiar la puesta en marcha de las reformas institucionales necesarias para cumplir los objetivos nacionales y alinearse con los estándares internacionales de igualdad de género. Juntos, una visión inspiradora y un plan estratégico cuidadosamente elaborado pueden trazar un curso de reforma y facilitar un enfoque de comunicación efectivo que involucre a una amplia gama de partes interesadas (por ejemplo, organizaciones de mujeres, tomadores de decisiones clave en todos los niveles de gobierno, organizaciones sin fines de lucro). actores, así como ciudadanos y ciudadanas) como socios para poner fin a la desigualdad de género.",5
"En los Estados Unidos, la gran oferta de cannabis se debe a la extensa producción ilegal dentro del país, el contrabando a gran escala desde México y la producción a gran escala y el desvío de los estados dentro de los Estados Unidos que permiten la producción de cannabis con fines no médicos y con fines medicinales. programas Las autoridades de algunos estados se han quejado de un efecto indirecto creado en su territorio por el desvío con fines de tráfico de cannabis de los estados vecinos que han legalizado la droga para fines no médicos. Las autoridades de los Estados Unidos también han informado de un aumento del 62% en el número de visitas a los servicios de urgencias relacionadas con el cannabis entre 2004 y 2011.",3
"Por ejemplo, en Nepal, el PNUD apoyó un caucus de mujeres de todos los partidos que construyó con éxito poder y una agenda común en torno a los derechos de las mujeres en la Asamblea Constituyente de 2008 a 2013.118 Sin embargo, su éxito no fue duradero, y la segunda La Asamblea Constituyente, elegida en 2013, abolió el caucus. A los ojos de las mujeres involucradas en el caucus, esto se debió a que habían construido una base de poder sólida, solidaridad y una voz fuerte a través de las líneas partidistas que amenazaban el liderazgo y el statu quo. Bajo la Unión Soviética, la participación de las mujeres en los mercados laborales y la política era igual a la participación de los hombres.",5
"Para uno de estos encuestados, el problema era principalmente uno de desarrollo económico desigual entre los centros urbanos y rurales. Pero vale la pena señalar que los encuestados chinos también vieron los beneficios de la colaboración en torno al control de enfermedades infecciosas en ambas direcciones, no solo hacia China, sino hacia el resto del mundo. Por lo tanto, dos encuestados señalaron que el control de enfermedades infecciosas no es simplemente una preocupación nacional, sino que tiene implicaciones internacionales y globales, y que, en consecuencia, como lo expresó uno de los encuestados, ""es necesario un enfoque global integrado para comprender la transmisión y evolución de los agentes de enfermedades infecciosas"". . Por lo tanto, la cooperación y el intercambio internacionales beneficiarían no solo a China, sino que contribuirían al trabajo de control de enfermedades infecciosas en un contexto internacional. En el caso de Sudáfrica, este patrón se invirtió. Las respuestas sudafricanas a las secciones del cuestionario que preguntaban sobre medicina estratificada fueron muy breves en comparación con las relacionadas con el control de enfermedades infecciosas.",3
"Sin embargo, a nivel mundial, los datos sobre el uso del tiempo siguen siendo limitados, en particular para los países en desarrollo, debido a los importantes costos y capacidades necesarios para realizar una encuesta sobre el uso del tiempo. La presentación de informes sobre la Meta 5.4 de los ODS requiere datos recopilados regularmente sobre el uso del tiempo, desglosados ​​por sexo, grupo de edad y ubicación. Sin embargo, hasta la fecha, solo 83 países han realizado alguna vez encuestas sobre el uso del tiempo, y solo el 24 % de ellas se realizaron después de 2010 (ONU Mujeres, 2018). De los 47 países menos adelantados, solo 8 han recopilado datos sobre el uso del tiempo.",3
"La participación de los profesionales, a través de programas que son fáciles de usar, flexibles en el tiempo, interactivos y que responden a las necesidades de los profesionales, maximizará el impacto de los programas de CPD. En varios países de la OCDE, existen incentivos para CPD. En Austria, la formación básica en salud mental para los médicos de atención primaria es bastante limitada, pero algunos médicos de atención primaria han recibido formación adicional en medicina psicoterapéutica en diferentes intensidades. La formación tiene como resultado la acreditación de los diplomas psy-1, psy-2 y psy-3 que también permiten a los médicos de atención primaria administrar determinados tratamientos (en total, unos 5 000 médicos generales en Austria tienen uno de estos diplomas).",3
"En Hungría, la Ley de Educación Pública de 2011 legisla expresamente el enfoque de escuela integral, encargando a los ministros responsables de la educación y el medio ambiente que desarrollen los programas Green Kindergarten y Eco-School en todo el país. Sobre la base de esta promoción, parecería que el número de jardines de infancia verdes ha aumentado a 633 (el 17,6 % de todos los jardines de infancia), y aproximadamente 700 escuelas ahora forman parte del programa Eco-Schools (el 14,6 % de todas las escuelas) (Hungría , informe informal de 2014). Finlandia ha incluido planes de EDS en sus estrategias generales de EDS y proporciona a las escuelas modelos, ejemplos y apoyo práctico para elaborar planes de DS. Sus hallazgos son consistentes con los comentarios proporcionados por los Estados miembros a través de sus NIR e informes nacionales informales.",4
"En la comunidad flamenca, hay indicios de que existe una distribución desigual de los docentes en las escuelas, y los docentes más experimentados suelen emplearse en las escuelas menos desafiantes. Según los datos de TALIS 2013, mientras que el 16 % de los docentes de secundaria inferior trabajaban en escuelas con más del 30 % de estudiantes provenientes de entornos familiares desfavorecidos, este era el caso del 26,6 % de los docentes principiantes (es decir, docentes con 5 años de experiencia docente o menos). . En los países y economías que se encuentran en la parte superior de esta figura (con diferencias positivas), es más probable que los docentes experimentados trabajen en escuelas con una alta proporción de estudiantes de entornos socioeconómicamente desfavorecidos. La Figura 4.6 muestra que para la mayoría de los países, sin embargo, ocurre lo contrario.",4
"Su nivel educativo sería inferior a 3 años en comparación con el nivel educativo promedio de su esposo de poco menos de 4. Dado que el punto de referencia para la alfabetización funcional se establece en un rango entre 3 y 5 años de educación (UNESCO ha adoptado el punto de referencia de 5 años en sus encuestas sobre este tema), esto significa que la mujer promedio en este momento tendría una alfabetización limitada (Gray, 1969). Cincuenta años después, la mujer equivalente tendría más del doble del nivel educativo de su hermana de la década de 1950, habiendo pasado un promedio de casi 6,5 años en la escuela.",4
"En las áreas rurales, 11 grupos de distrito involucran a personas discapacitadas, padres, maestros y niños que se identifican como personas discapacitadas, aseguran suficientes materiales de enseñanza y aprendizaje y maestros auxiliares, hacen que el ambiente de aprendizaje sea acogedor, organizan eventos para crear conciencia y recolectan fondos para educación física. mejoras de acceso. El trabajo con las familias fue fundamental para alentarlas a escolarizar a sus hijos discapacitados y convertirse en aliadas en su lucha por los derechos y la educación. Los estudios de casos se utilizan en la promoción nacional e internacional de cambios en las leyes, políticas y programas de desarrollo relevantes para la educación inclusiva.",4
"En las sociedades multiculturales, los gobiernos pueden querer crear una fuerza laboral capacitada y bien informada y priorizar los valores compartidos para construir un sentido de comunidad. Mientras tanto, algunas personas pueden estar preocupadas por transmitir idiomas y costumbres específicas a los niños respetando creencias específicas sobre la crianza de los niños. En el contexto de Nueva Zelanda, algunas de estas consideraciones reciben un peso y una forma más específicos por la relación entre la Corona y los maoríes definida por el Tratado de Waitangi, y el estatus único de los maoríes como tangata whenua (indígena). Los planes de estudio pueden contribuir a equilibrar las diferentes expectativas del desarrollo de la primera infancia en el plan de estudios y garantizar que se cumplan las expectativas y necesidades de las diferentes partes interesadas (Bennett, 2011, Siraj-Blatchford y Woodhead, 2009, Vandenbroeck, 2011). Un currículo enfocado con metas claras ayuda a asegurar que el personal de ECE cubra áreas críticas de aprendizaje o desarrollo.",4
"Sin embargo, incluso las decisiones políticas aparentemente neutras en cuanto al género pueden tener efectos, ya sea intencionales o no, en las posibilidades de las mujeres de convertirse en participantes equitativas en la sociedad. Pueden hacer que les resulte más difícil encontrar empleo, asegurar una educación, iniciar un negocio, satisfacer las necesidades de su familia o garantizar sus derechos humanos. La UE define GIA como “un proceso para comparar y evaluar, de acuerdo con criterios relevantes de género, la situación actual y la tendencia con el desarrollo esperado resultante de la introducción de la política propuesta” (Comisión Europea, n.d.).",5
"La tabla tiene, en contraste con esta heterogeneidad real específica de cada país, principalmente un valor didáctico. El sector privado de atención de salud mental (psicólogos o psiquiatras en práctica privada, según el país) también está abierto a personas con trastornos más leves y condiciones por debajo del umbral. Sin embargo, la mayoría de los enfermos mentales necesitados, que tienen al menos un trastorno mental leve y, a menudo, están parcialmente aislados de la vida social y laboral, no encuentran la ayuda adecuada. El consultorio de atención primaria es el lugar donde se presenta la mayoría de las personas con problemas de salud mental, especialmente por primera vez.",3
"En los países de la OCDE, un estudiante con más ventajas socioeconómicas obtiene 39 puntos más en matemáticas, el equivalente a casi un año de escolaridad, que un estudiante con menos ventajas. En Portugal, la diferencia de rendimiento en matemáticas es de 35 puntos. Junto con Chile, Hungría, Luxemburgo y la República Eslovaca, la relación en Portugal entre desempeño y estatus socioeconómico está significativamente por encima del promedio de la OCDE (OCDE, 2014a). La posición de Portugal contrasta con la de Italia, que, por ejemplo, mostró un nivel de desempeño y una mejora en los resultados de PISA similares a los de Portugal entre 2003 y 2012 (ver Figura 9).",4
"Los flujos de ayuda restantes que no se compararon con el marcador se atribuyeron principalmente a los informes de los Estados Unidos. Los otros 23 miembros del DAC combinaron un total del 92% de su ayuda. Canadá se destaca como la excepción en este sentido, con el 42,4% de su ayuda dirigida a la igualdad de género como objetivo principal.",5
"Como resultado, los resultados de salud siguen siendo inferiores a los de la OCDE y las desigualdades son significativas. En general, las reformas han ido en la dirección correcta. Por lo tanto, las razones del progreso limitado son profundas y difíciles de captar, especialmente en un entorno donde los sistemas de información no están orientados hacia ese objetivo. En parte, el lento progreso puede atribuirse a la magnitud de la tarea en cuestión. De hecho, no se presta suficiente atención a la medición del progreso real hacia la implementación efectiva.",3
"Sin embargo, basadas en actitudes de “culpar a la víctima”, en las que se prestaba una atención y un enfoque considerables a mejorar el comportamiento del ser humano, las políticas de seguridad vial carecían del enfoque holístico necesario para lograr una reducción significativa de las lesiones. Un Sistema Seguro no ve las muertes y lesiones en las carreteras como el precio inevitable a pagar por una sociedad altamente motorizada. Al ver cualquier muerte en la carretera como una falla inaceptable del sistema, se contrarresta el riesgo de que los planificadores del transporte puedan adoptar medidas de eficiencia del transporte que toleren muertes que se pueden prevenir de manera asequible.",3
"La densidad de camas también es marcadamente baja, con 1,6 camas por 1 000 habitantes en 2013, en comparación con 4,8 camas por 1 000 en toda la OCDE: nuevamente, la más baja entre los países de la OCDE. Aunque el gasto total per cápita ahora es bastante similar para las personas con y sin seguridad social (a MXN 3 429 per cápita para las personas sin seguridad social en 2013, en comparación con 3 505 para el IMSS y 3 945 para los afiliados al ISSSTE), las diferencias en los derechos persisten, involucrando algunas enfermedades comunes y devastadoras. Los infartos de miocardio en mayores de 60 años, los accidentes cerebrovasculares, la diálisis tras insuficiencia renal, la esclerosis múltiple y el cáncer de pulmón, por ejemplo, no están cubiertos por el SP. Algunas diferencias en el acceso también son evidentes.",3
"En otras escuelas, los maestros establecen objetivos educativos para sus alumnos y evalúan su desempeño en gran medida por sí mismos. En la red SIP, las organizaciones asociadas brindan desarrollo profesional, así como clases de recuperación y apoyo psicosocial para niños. La Sociedad de Instrucción Primaria (cont.) La enseñanza está estructurada por los objetivos formulados por el departamento pedagógico y los incentivos económicos para los maestros a veces están ligados a su logro.",4
"Si bien las mujeres viven más que los hombres, también se enferman con más frecuencia. A las niñas ahora les va mejor que a los niños en la escuela, pero siguen estando insuficientemente representadas en los campos clave de la educación que brindan mayores oportunidades laborales. Del mismo modo, aunque las mujeres están cada vez más presentes en el mercado laboral, todavía ganan menos que los hombres, dedican más horas al trabajo no remunerado y les resulta más difícil llegar a la cima de la carrera profesional o iniciar su propio negocio. Los hombres son con mayor frecuencia las víctimas de homicidios y agresiones, pero las mujeres son el objetivo principal de la violencia de pareja.",5
"En particular, la caída significativa en el número de estudiantes matriculados en programas vocacionales cortos provoca escasez de ciertas ocupaciones. Este número se redujo en más del 50 % (de alrededor de 2 000 estudiantes a alrededor de 1 000) entre 2007 y 2009. Los programas de formación profesional media también experimentaron grandes descensos en la matrícula de más de 18 000 estudiantes en 2007 a alrededor de 12 000 estudiantes en 2009.",4
"En particular, los objetivos establecidos por la ley son: i) evaluar el aprendizaje de los estudiantes, ii) trabajar en las innovaciones pedagógicas necesarias para mejorar el aprendizaje de los estudiantes, iii) intercambiar experiencias pedagógicas, iv) diseñar estrategias de enseñanza para los estudiantes, v) establecer criterios para planes de mejora. , y vi) recibir asistencia técnica de las asesorías técnico-pedagógicas del Ministerio de Educación (Asesores Tecnico-Pedagogicos, ATP) o de asesorías independientes (Asesores Tecnico-Pedagógicos, ATE). El canal, sin embargo, ha llegado a muy pocas escuelas (en total 1000 escuelas en Latinoamérica) (https://escue!ap!us.com/). Este programa se introdujo en 2000 como una estrategia para expandir el programa Conexiones (Enlaces) a las áreas rurales e incluyó la provisión de computadoras a las aulas multigrado, así como la capacitación de maestros.",4
"Desde la década de 1980, los países nórdicos han implementado una variedad de diferentes tipos de medidas destinadas a mejorar el equilibrio de género en el mundo académico. Se han implementado medidas de igualdad de género dentro de los sectores de educación e investigación, en los consejos nacionales de investigación y en universidades, colegios universitarios e institutos de investigación independientes. Estas medidas se han centrado en mejorar el equilibrio de género en áreas temáticas específicas, categorías de puestos e instituciones o en la academia y el sector de la investigación en general. Primero, las estadísticas sobre educación e investigación en la región nórdica se han desglosado por género desde la década de 1980, e incluso antes en algunos países, lo que ha sido crucial para desarrollar datos adecuados sobre las medidas de igualdad de género en el mundo académico.",5
"En programas exitosos, los maestros mentores brindan orientación y supervisión a los maestros principiantes en estrecha colaboración con la institución de formación inicial de maestros. Estos mentores brindan apoyo en el trabajo, identifican deficiencias en el conocimiento de la materia, estrategias de gestión del aula y otros procesos pedagógicos. A menudo, las escuelas que necesitarían brindar el mayor apoyo a los maestros principiantes son las menos capaces de ofrecer programas de inducción de alta calidad.",4
"En promedio en los países de la OCDE, y después de tener en cuenta el perfil socioeconómico de las escuelas, no se puede identificar una asociación entre el porcentaje de estudiantes inmigrantes que asisten a una escuela y la probabilidad de que los estudiantes que asisten a esa escuela alcancen los niveles básicos de competencia académica. Después de tener en cuenta el perfil socioeconómico de las escuelas, una alta concentración de estudiantes inmigrantes se asoció con un desempeño más bajo en Alemania, Eslovenia, España y Suiza. Eslovenia fue el único país donde los estudiantes que asisten a escuelas en las que más de uno de cada cuatro estudiantes tiene un origen inmigrante tienen menos probabilidades de alcanzar los niveles básicos de competencia, después de tener en cuenta el perfil socioeconómico de la escuela.",4
"Esto también implica dar suficientes recursos a los casos difíciles y conservar los recursos en los casos en que su uso sería subóptimo. Además, los cambios en los sistemas de pago podrían tener consecuencias a largo plazo para el uso de la tecnología, las prácticas médicas y los costos a lo largo del tiempo (McClellan, 2011). Sin embargo, no han sido efectivos para evitar derivaciones innecesarias y ofrecer atención definitiva. Entre 1990 y 2008, el número de derivaciones no diagnósticas a atención especializada ambulatoria aumentó más de cuatro veces, mientras que el número de pacientes derivados a atención hospitalaria por médico aumentó casi un 80% (Gaal et al.,",3
"En promedio, una diferencia de casi 40 puntos en el dominio de la alfabetización separa a los adultos de padres con un alto nivel educativo de aquellos cuyos padres tienen los niveles más bajos de educación. En promedio, la probabilidad de tener un desempeño bajo es alrededor de 25 puntos porcentuales menor para los adultos con al menos un padre con educación terciaria, en comparación con los adultos cuyos padres tienen educación secundaria superior. Los adultos cuya alfabetización está clasificada en el Nivel 1 e inferior predominantemente tienen padres con poca educación. En promedio, más de la mitad de los adultos (52,2 %) por debajo de la línea de base en el dominio de la lectura tenían padres que no habían completado la educación secundaria superior.",4
"Tal progreso ha permitido que Colombia se convierta en un líder regional en actividades clave. Su agencia de evaluación de tecnologías de la salud, el Instituto de Evaluación Tecnológica en Salud, es una de las más avanzadas de América Latina, por ejemplo. El conflicto ha provocado desplazamiento y toma forzosa de tierras, reclutamiento forzado y secuestro, homicidios, lesiones y violencia sexual. En total, se estima que 7,1 millones han sido víctimas del conflicto armado entre 1985 y 2015, en su mayoría colombianos pobres y rurales.",5
"Reducen la producción económica mundial y nacional, ejercen presión sobre los gobiernos y los sistemas de salud nacionales, sobrecargan a los hogares vulnerables, ponen en riesgo los derechos humanos y socavan gravemente el progreso del desarrollo (PNUD 2013b, Banco Mundial 2014). La pérdida de productividad debido a enfermedad, discapacidad o muerte por ENT puede impedir el crecimiento macroeconómico y desviar los presupuestos públicos de otros objetivos importantes de salud y desarrollo (OMS 2010, Bloom et al. En contraste, las muertes por enfermedades transmisibles durante el mismo período se redujeron en un 27 por ciento de alrededor de 16,1 millones de personas en 1990 a 11,8 millones en 2013, mientras que las muertes por diversas formas de lesiones aumentaron en un 10 por ciento de alrededor de 4,3 millones de personas en 1990 a 4,8 millones en 2013 (GBD 2013).",3
"En segundo lugar, la enseñanza para el examen enfatiza la memorización y un enfoque más pasivo del aprendizaje, ya que los maestros pasan más tiempo desarrollando estrategias para tomar exámenes en lugar de cultivar las habilidades de resolución de problemas de los estudiantes (Kellaghan et al., Al involucrar a los maestros en el desarrollo e implementación de pruebas estandarizadas y capacitar a los maestros sobre cómo usar y analizar de manera efectiva los resultados de las pruebas, puede haber menos riesgo de enseñar para la prueba. Sin embargo, los incentivos adjuntos a los resultados de las pruebas deben construirse cuidadosamente para evitar motivar comportamientos estratégicos como enseñar para la prueba, la investigación es mezclados en cuanto a cómo promover de manera efectiva comportamientos positivos como resultado de incentivos mientras se reducen los comportamientos negativos.",4
"Una reforma reciente ha permitido a los padres de niños nacidos después de junio de 2016 hacer un uso aún más flexible de la provisión de protección laboral: con el consentimiento del empleador, pueden usar 12 meses del período de protección laboral de 36 meses en cualquier momento entre el tercer y octavo cumpleaños del niño. Pero, más allá de las disposiciones de la licencia parental (Elternzeit) y la licencia para el cuidado de la familia (Pflegezeit y Familienpflegezeit), los empleados en Alemania no tienen derecho legal a reanudar el trabajo a tiempo completo una vez que su empleador haya aprobado la reducción de su jornada laboral (consulte el Capítulo 3 para obtener más información). una comparación internacional de disposiciones legales). En promedio, las madres que trabajan a tiempo completo en Alemania dedican casi 42 horas a la semana, superadas solo por las madres suizas y austriacas con alrededor de 44 horas a la semana (Figura 4.6).",5
"El plan de especialización debe abordar la preocupación entre los cirujanos y los responsables políticos en Dinamarca de que ciertos servicios especializados se prestan en circunstancias potencialmente inseguras. Si bien es demasiado pronto para evaluar sistemáticamente el impacto de estas reformas, será importante que los formuladores de políticas utilicen los cambios en la oferta de servicios hospitalarios para impulsar mejoras en la calidad de la atención. Para ayudar a evaluar el éxito del plan y monitorear la calidad de manera continua, la DHMA debe buscar que los hospitales monitoreen internamente los datos sobre el desempeño de los médicos individuales, junto con los esfuerzos de todo el sistema que ya se están realizando para evaluar el desempeño de los hospitales especializados.",3
"En segundo lugar, los muy altos retornos de la educación superior para el gobierno sugieren que una gran parte de los retornos de la educación superior pueden ser gravados en Portugal (OCDE, 2017|2]). En tercer lugar, las partes interesadas mencionaron razones económicas que han disminuido el interés en seguir una educación superior, tanto durante la crisis, debido a los costos de participación, como en el período de recuperación. Otros países tienen matrícula para los programas de educación de adultos, incluso para la formación básica, que no se aplican a las personas que demuestran necesidad económica, por lo general aquellos que son elegibles para los beneficios sociales. A continuación se incluyen ejemplos de estos dos enfoques.",4
"Aucune intervencion isolee ne sera a meme de garantir que lespatients se font deivrer les medicaments presents et qu'ils les prennent correctement. Les mesures mises en lumiere doivent etre appliquees ensemble. Las medidas reglamentarias y los indicadores de calidad y rendimiento se encuentran en el dominio de un estímulo para los sistemas de sanidad, más eficaces y más eficientes.",3
"Kazajstán también promulgó una estrategia nacional de igualdad de género (2006-16) seguida de planes de acción específicos para su implementación. Más recientemente, en la Reunión de Líderes Globales de la ONU sobre Igualdad de Género y Empoderamiento de la Mujer, Kazajstán se comprometió a defender e implementar plenamente la Plataforma de Acción de Beijing con un compromiso acelerado y más profundo que hasta ahora. En vista de la implementación de los Objetivos de Desarrollo Sostenible (más específicamente el Objetivo 5 sobre la igualdad de género), Kazajstán se comprometió a financiar adecuadamente las iniciativas de igualdad de género, establecer una rendición de cuentas fuerte, transparente y abierta de los mecanismos gubernamentales y utilizar datos de género comparables de alto nivel en todos los aspectos de la igualdad de género. (ONU Mujeres, 2015).",5
"En Suecia, entre los estudiantes nativos de herencia mixta, los hablantes no nativos tenían 17 puntos porcentuales menos de probabilidad de ser académicamente resilientes en comparación con los hablantes nativos. La diferencia fue de al menos 20 puntos porcentuales en los países europeos de aprendizaje entre pares. En Canadá, los estudiantes nativos y no nativos con diferentes orígenes inmigrantes tenían la misma probabilidad de alcanzar la competencia académica básica.",4
"Estos esfuerzos generalmente se llevan a cabo a través de los ministerios de asuntos de la mujer que tienen conexiones limitadas con los ministerios económicos, aunque está surgiendo evidencia de que los ministerios económicos están reconociendo que las necesidades de las mujeres empresarias requieren una consideración especial. Además, no hay evidencia de ninguna política para apoyar a las mujeres en empresas orientadas al crecimiento. Las empresarias orientadas al crecimiento ciertamente existen en la región, pero son pocas y en gran parte invisibles.",5
"Como dijo una encuestada: “Podemos hacer las cosas nosotras mismas, no dependemos de los hombres. En el pasado, decir los nombres de nuestro esposo y nuestra suegra era un tabú social, pero tal restricción ya no existe”. Sin embargo, los programas en Nepal de Helvetas y el Banco Asiático de Desarrollo (ADB) mostraron cómo los programas de infraestructura puede reducir el trabajo de cuidados no remunerado de las mujeres y desafiar las normas de género discriminatorias existentes. Esto se hizo a través de la representación de las mujeres (considerada una cuarta “R” en el marco de las 3R de la OIT [2018]) en la fase de diseño del programa y/o en los procesos de toma de decisiones (ver Cuadro 5).",5
"En teoría, un docente con estatus permanente puede ser despedido, por ejemplo, como resultado de una medida disciplinaria o si ha recibido dos evaluaciones ""insuficientes"" consecutivas. Sin embargo, en la práctica, despedir a un docente permanente puede resultar difícil y rara vez ocurre. La carrera docente no prevé etapas diferenciadas asociadas a niveles de competencia o roles y responsabilidades determinados en las escuelas.",4
"Específicamente, las mujeres fundadoras tienden a estar menos preparadas en términos de educación y experiencia profesional, una vez que se controla por el sector de actividad de puesta en marcha. En ese sentido, parte de la brecha de género puede atribuirse a una brecha de género en educación y campos de interés y carreras (por ejemplo, STEM). La política para cerrar la brecha de género en la financiación tendría que abordar los factores anteriores relacionados con la educación y la formación.",5
"En las regiones más desarrolladas, el 98% de los gobiernos habían adoptado tanto medidas legales como políticas para prevenir la violencia doméstica, en comparación con el 71% con medidas legales, el 87% con políticas y el 65% con ambas en los gobiernos de las regiones menos desarrolladas. Esta proporción también fue relativamente baja en África (68 por ciento) y Asia (69 por ciento). Cuatro gobiernos de África y cinco gobiernos de Asia no contaban con disposiciones legales o políticas para prevenir la violencia doméstica (cuadro III.6).",5
"La Convención sobre la eliminación de todas las formas de discriminación contra la mujer exige a los Estados partes que adopten ""todas las medidas apropiadas para eliminar la discriminación contra la mujer en todos los asuntos relacionados con el matrimonio y las relaciones familiares"" (art. Esto incluye garantizar el mismo derecho a contraer matrimonio con libre y pleno consentimiento y a elegir libremente cónyuge, los mismos derechos y responsabilidades durante el matrimonio y su disolución y con respecto a sus hijos, y los mismos derechos personales como marido y mujer, tales como el derecho a elegir un apellido, una profesión y una ocupación Los derechos relacionados con el acceso a la propiedad y la salud sexual y reproductiva, que se examinarán por separado en este capítulo, también están cubiertos por esta disposición.",5
"La estrategia podría incorporar elementos importantes de reformas legales, regulatorias e institucionales de manera integral y coherente para garantizar que se eliminen los obstáculos para el desarrollo equitativo y sostenible. Esta estrategia también puede incorporar la participación de mujeres en áreas estratégicas y posiciones de poder, así como facilitar el apoyo para el análisis de impacto de género y la recopilación de datos desagregados por género. Junto con los ministerios interesados, las asociaciones y organizaciones de mujeres de toda España participaron en la preparación del plan estratégico para incorporar sus puntos de vista en un proceso colaborativo de elaboración de políticas.",5
"En todo su trabajo, los pedagogos se enfocan en la importancia del juego y el desarrollo integral de los niños y jóvenes, que incluye su desarrollo intelectual, social, emocional, neuromuscular, ético, moral y estético (BUPL, 2016). Estos profesores especialistas se centran en los procesos sociales en las escuelas y constituyen un recurso central en áreas relacionadas con el comportamiento, la psicología y el bienestar. Pueden apoyar a estudiantes individuales dentro y fuera de las aulas y trabajar junto con los maestros en el aula para ayudar a ofrecer una enseñanza diferenciada de acuerdo con las necesidades de los estudiantes.",4
